# r=8.000000e+02
# M=2.700297e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
4.311170107299613363e+00 -3.297117577393293697e-02 -3.062463655851217936e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.311166624508669720e+00 -3.297320863892001103e-02 -3.055501458729938236e+02 1.372335314499294119e-06 6.348787698108538956e-06 1.879999999999999893e+00
4.311163027192930208e+00 -3.297521742628242020e-02 -3.048539261608659103e+02 2.728416438887677101e-06 1.290634291367958016e-05 3.759999999999999787e+00
4.311159390444244011e+00 -3.297717903641605303e-02 -3.041577064487379403e+02 4.052649419076722311e-06 1.953578053893392723e-05 5.639999999999999680e+00
4.311155847137061237e+00 -3.297909455905215226e-02 -3.034614867366099702e+02 5.345769905081570242e-06 2.599488343168003581e-05 7.519999999999999574e+00
4.311152359026729108e+00 -3.298096449096183519e-02 -3.027652670244820001e+02 6.608113253963699029e-06 3.235336785486803997e-05 9.399999999999998579e+00
4.311148937886470911e+00 -3.298278948638538183e-02 -3.020690473123540301e+02 7.840121127070080748e-06 3.858977237795998340e-05 1.127999999999999936e+01
4.311145575425859633e+00 -3.298457014708475882e-02 -3.013728276002260600e+02 9.042199758165628590e-06 4.471920963361157309e-05 1.316000000000000014e+01
4.311142273152933413e+00 -3.298630710421410206e-02 -3.006766078880981468e+02 1.021477522411377678e-05 5.073893061837339287e-05 1.503999999999999915e+01
4.311139027380844091e+00 -3.298800097916853441e-02 -2.999803881759701767e+02 1.135826701174699077e-05 5.665565609862716111e-05 1.691999999999999815e+01
4.311135837603469412e+00 -3.298965240392579684e-02 -2.992841684638422066e+02 1.247310175396287144e-05 6.247030868126041961e-05 1.879999999999999716e+01
4.311132701441002801e+00 -3.299126200869472586e-02 -2.985879487517142366e+02 1.355970488872672029e-05 6.818722652570764558e-05 2.067999999999999972e+01
4.311129617867328179e+00 -3.299283042902775159e-02 -2.978917290395862665e+02 1.461850546074181938e-05 7.380828013744326725e-05 2.255999999999999872e+01
4.311126585049334992e+00 -3.299435830061874658e-02 -2.971955093274582964e+02 1.564993261094359915e-05 7.933681110072173046e-05 2.443999999999999773e+01
4.311123601842525410e+00 -3.299584626224749684e-02 -2.964992896153303263e+02 1.665441756387259516e-05 8.477490572106307547e-05 2.632000000000000028e+01
4.311120666718784022e+00 -3.299729495311152366e-02 -2.958030699032023563e+02 1.763239182453774388e-05 9.012534960532114184e-05 2.819999999999999929e+01
4.311117778549367507e+00 -3.299870501413910279e-02 -2.951068501910743862e+02 1.858428806756620691e-05 9.539020034076924927e-05 3.007999999999999829e+01
4.311114936015060906e+00 -3.300007708641639753e-02 -2.944106304789464161e+02 1.951053907426357874e-05 1.005718627292530510e-04 3.195999999999999730e+01
4.311112138053397658e+00 -3.300141181179332833e-02 -2.937144107668185029e+02 2.041157814070543303e-05 1.056722735420819441e-04 3.383999999999999631e+01
4.311109383508584081e+00 -3.300270983185338985e-02 -2.930181910546905328e+02 2.128783838371665565e-05 1.106935396801083201e-04 3.571999999999999886e+01
4.311106671404051127e+00 -3.300397178816492916e-02 -2.923219713425625628e+02 2.213975290960414153e-05 1.156374413322008778e-04 3.759999999999999432e+01
