# r=8.000000e+02
# M=2.700297e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 2.879792442559948817e+00 2.156869132193035998e+00 7.264009828527661717e-04 3.597956220638674818e+00 -6.428395776880726498e-01 0.000000000000000000e+00
-3.055501458729938236e+02 2.821051413397918317e+00 2.110867006231993859e+00 7.264009828527661717e-04 3.523363534328130431e+00 -6.423836413976485860e-01 1.879999999999999893e+00
-3.048539261608659103e+02 2.763202107882049230e+00 2.065187441079343600e+00 7.790960210227592265e-04 3.449678978658107908e+00 -6.418281083217302063e-01 3.759999999999999787e+00
-3.041577064487379403e+02 2.705914351728363698e+00 2.020139750097313502e+00 7.813321208698265508e-04 3.376823520531206491e+00 -6.412987973826955734e-01 5.639999999999999680e+00
-3.034614867366099702e+02 2.649325666503679955e+00 1.975588655529518123e+00 8.012208519395187713e-04 3.304826322675988415e+00 -6.407401506731935648e-01 7.519999999999999574e+00
-3.027652670244820001e+02 2.593360635318409102e+00 1.931608997605849254e+00 8.138295342867136843e-04 3.233671706350380148e+00 -6.401831458809190689e-01 9.399999999999998579e+00
-3.020690473123540301e+02 2.538066600708921872e+00 1.888151636332049632e+00 8.313286384740019601e-04 3.163368247836083835e+00 -6.396069423450289060e-01 1.127999999999999936e+01
-3.013728276002260600e+02 2.483410596144560500e+00 1.845249371513842940e+00 8.468778997594316772e-04 3.093909085948602478e+00 -6.390255711101948677e-01 1.316000000000000014e+01
-3.006766078880981468e+02 2.429416147018711225e+00 1.802876538298712195e+00 8.648030292332614622e-04 3.025297775053422455e+00 -6.384277161698728165e-01 1.503999999999999915e+01
-2.999803881759701767e+02 2.376064603399972608e+00 1.761051124150823988e+00 8.822719566514287655e-04 2.957530060946659489e+00 -6.378213852780745263e-01 1.691999999999999815e+01
-2.992841684638422066e+02 2.323369756254492380e+00 1.719757058732750865e+00 9.013401813407160299e-04 2.890607438816136021e+00 -6.371992059145159537e-01 1.879999999999999716e+01
-2.985879487517142366e+02 2.271319386322180556e+00 1.679005379231608419e+00 9.205722590811504487e-04 2.824526653825671030e+00 -6.365663236749097287e-01 2.067999999999999972e+01
-2.978917290395862665e+02 2.219922307085220758e+00 1.638784813060479406e+00 9.411248312749876440e-04 2.759288080830314627e+00 -6.359173648080950203e-01 2.255999999999999872e+01
-2.971955093274582964e+02 2.169169673791150998e+00 1.599102548201436491e+00 9.621810898682752519e-04 2.694888872172568117e+00 -6.352558643566962315e-01 2.443999999999999773e+01
-2.964992896153303263e+02 2.119067372591435294e+00 1.559950016990937049e+00 9.844725808420796368e-04 2.631328672950528968e+00 -6.345775859252889006e-01 2.632000000000000028e+01
