# r=8.000000e+02
# M=2.700297e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 -4.595719763697318267e-08 -1.642092640216012092e-08 -1.517766001411728627e-01 4.880277490623840398e-08 2.798421255348984893e+00 0.000000000000000000e+00
-3.055501458729938236e+02 -4.515210436898775454e-08 -2.178192448596974975e-08 -1.517766001411728627e-01 5.013147477643613221e-08 2.692114050722978824e+00 1.879999999999999893e+00
-3.048539261608659103e+02 -4.372219552078376701e-08 -2.707843722734752716e-08 -1.499398749283431531e-01 5.142832044538344155e-08 2.587081533632888508e+00 3.759999999999999787e+00
-3.041577064487379403e+02 -4.179303720538032122e-08 -3.231946978755361247e-08 -1.470899111564517026e-01 5.283186620022894364e-08 2.483331857604751391e+00 5.639999999999999680e+00
-3.034614867366099702e+02 -3.952217296216218495e-08 -3.751315612231148139e-08 -1.413852513087237028e-01 5.449072432908173589e-08 2.382267742428343826e+00 7.519999999999999574e+00
-3.027652670244820001e+02 -3.708997918798317989e-08 -4.266023505973929980e-08 -1.312956571894311752e-01 5.652930400701246048e-08 2.286461459674153041e+00 9.399999999999998579e+00
-3.020690473123540301e+02 -3.471223179981731006e-08 -4.774398336722705639e-08 -1.160076784685110524e-01 5.902903509540285604e-08 2.199446493124189050e+00 1.127999999999999936e+01
-3.013728276002260600e+02 -3.262317457141735604e-08 -5.271970794296077931e-08 -9.637194463518565513e-02 6.199708964708143764e-08 2.124927794658193037e+00 1.316000000000000014e+01
-3.006766078880981468e+02 -3.100979836484644491e-08 -5.751840860431888252e-08 -7.524693543320580547e-02 6.534504512969454649e-08 2.065254398021947324e+00 1.503999999999999915e+01
-2.999803881759701767e+02 -2.993583323385366090e-08 -6.207413127569486703e-08 -5.680830231962311072e-02 6.891554167992366577e-08 2.020150995206557276e+00 1.691999999999999815e+01
-2.992841684638422066e+02 -2.926966266980679597e-08 -6.636903471911832745e-08 -4.539777106279976188e-02 7.253662469643741989e-08 1.986152278247054870e+00 1.879999999999999716e+01
-2.985879487517142366e+02 -2.864513228713101873e-08 -7.045888630544700846e-08 -4.345852050757142981e-02 7.605917606147955335e-08 1.956937349005370086e+00 2.067999999999999972e+01
-2.978917290395862665e+02 -2.758838671240512288e-08 -7.445733596779131164e-08 -4.891318751162238021e-02 7.940411803435486761e-08 1.925638920972477797e+00 2.255999999999999872e+01
-2.971955093274582964e+02 -2.583305712797747553e-08 -7.847053123894333019e-08 -5.544888241688177705e-02 8.261338338005125553e-08 1.888828698348164581e+00 2.443999999999999773e+01
-2.964992896153303263e+02 -2.351793884951614939e-08 -8.252089095944849937e-08 -5.685388501542089357e-02 8.580670657047019256e-08 1.848429711064280445e+00 2.632000000000000028e+01
-2.958030699032023563e+02 -2.106488449474580990e-08 -8.650309912175163460e-08 -5.024247074178383315e-02 8.903098065530094352e-08 1.809663107430579343e+00 2.819999999999999929e+01
-2.951068501910743862e+02 -1.900487638454562324e-08 -9.019371767795905577e-08 -3.522867645753938182e-02 9.217424822022278431e-08 1.778470114031395877e+00 3.007999999999999829e+01
-2.944106304789464161e+02 -1.792273119863400197e-08 -9.328638286297868826e-08 -1.307001403765306602e-02 9.499249192055514457e-08 1.760609309466744987e+00 3.195999999999999730e+01
-2.937144107668185029e+02 -1.829891062026872276e-08 -9.541862324481924093e-08 1.286952807520800116e-02 9.715741758520211124e-08 1.760270911209789402e+00 3.383999999999999631e+01
-2.930181910546905328e+02 -2.027552956480812161e-08 -9.619576581250561235e-08 3.933586449231663007e-02 9.830932030783159210e-08 1.778529347730233079e+00 3.571999999999999886e+01
-2.923219713425625628e+02 -2.373357053313950534e-08 -9.523019385209120143e-08 6.680104566938394051e-02 9.814312095790707781e-08 1.815043719716079806e+00 3.759999999999999432e+01
-2.916257516304345927e+02 -2.860060792564479422e-08 -9.221315068644158331e-08 9.857901971456933810e-02 9.654667230535102210e-08 1.871545757301803725e+00 3.947999999999999687e+01
-2.909295319183066226e+02 -3.489711857953186523e-08 -8.698882985865214886e-08 1.363902707702113193e-01 9.372761282211043148e-08 1.952309033171148345e+00 4.135999999999999943e+01
-2.902333122061786526e+02 -4.252715211722538585e-08 -7.960276363431629471e-08 1.782078377457248508e-01 9.025053266004836116e-08 2.061460947407186328e+00 4.323999999999999488e+01
-2.895370924940507393e+02 -5.121684732486193299e-08 -7.029598778647958303e-08 2.189367850717349184e-01 8.697523411164296396e-08 2.200452652159698541e+00 4.511999999999999744e+01
-2.888408727819227693e+02 -6.065497001232322414e-08 -5.943925450415197399e-08 2.509538244509405547e-01 8.492379150276548119e-08 2.366317158360916384e+00 4.700000000000000000e+01
-2.881446530697947992e+02 -7.059482347986655574e-08 -4.744137886247156780e-08 2.657206746805682029e-01 8.505476782947611630e-08 2.549890650992988395e+00 4.887999999999999545e+01
-2.874484333576668291e+02 -8.087327544999658036e-08 -3.469671818621578528e-08 2.582290431125925378e-01 8.800198256235308519e-08 2.736317101626022374e+00 5.075999999999999801e+01
-2.867522136455388591e+02 -9.137534273429968370e-08 -2.160068962900965718e-08 2.305174640020607180e-01 9.389378601515406612e-08 2.909458951110845515e+00 5.264000000000000057e+01
-2.860559939334108890e+02 -1.018734358545449299e-07 -8.607710953500745541e-09 1.906177001427387663e-01 1.022364397887029968e-07 3.057298706481987427e+00 5.451999999999999602e+01
-2.853597742212829758e+02 -1.118240679239601495e-07 3.723987597278624733e-09 1.480838246704146433e-01 1.118860592329854937e-07 3.174882551750588977e+00 5.639999999999999858e+01
-2.846635545091550057e+02 -1.203686850571730890e-07 1.474652067754457825e-08 1.095215617020015714e-01 1.212686283194716839e-07 3.263496462047674740e+00 5.827999999999999403e+01
-2.839673347970270356e+02 -1.266125060584694452e-07 2.379805362858987292e-08 7.706609343480999574e-02 1.288296318667223416e-07 3.327384692070533667e+00 6.015999999999999659e+01
-2.832711150848990656e+02 -1.299976740377372029e-07 3.033028789172483724e-08 4.976315560140003730e-02 1.334890318296476407e-07 3.370806328819694997e+00 6.203999999999999915e+01
-2.825748953727710955e+02 -1.305317491161197036e-07 3.403807430152273262e-08 2.566434573659413104e-02 1.348967309814051623e-07 3.396676871805305087e+00 6.391999999999999460e+01
-2.818786756606431254e+02 -1.287581630101395696e-07 3.493576879906944998e-08 3.339448337746541741e-03 1.334135393553731773e-07 3.406542375621063101e+00 6.579999999999999716e+01
-2.811824559485152122e+02 -1.254958159957675833e-07 3.334887530867406538e-08 -1.742703532402143166e-02 1.298512507325094568e-07 3.401326851326049283e+00 6.767999999999999261e+01
