# r=8.000000e+02
# M=2.700298e+00
# u/M:0 Reh/M:1 Imh/M:2 Redh:3 Imdh:4 Momega:5 A/M:6 phi:7 t:8
-3.072539e+02 -9.720036e-04 1.867754e-03 -3.102049e-05 -1.702848e-05 6.269133e-05 2.105539e-03 -2.050641e+00 0.000000e+00
-3.065577e+02 -9.315207e-04 1.894303e-03 -3.163666e-05 -1.612412e-05 -4.418827e-04 2.110951e-03 -2.027821e+00 1.880000e+00
-3.058615e+02 -8.901556e-04 1.919711e-03 -3.223493e-05 -1.521854e-05 -8.164045e-04 2.116050e-03 -2.004978e+00 3.760000e+00
-3.051652e+02 -8.479307e-04 1.943956e-03 -3.281650e-05 -1.428934e-05 -1.069039e-03 2.120838e-03 -1.982105e+00 5.640000e+00
-3.044690e+02 -8.048685e-04 1.967017e-03 -3.337977e-05 -1.335161e-05 -1.222366e-03 2.125316e-03 -1.959193e+00 7.520000e+00
-3.037728e+02 -7.609928e-04 1.988871e-03 -3.392516e-05 -1.239501e-05 -1.323142e-03 2.129487e-03 -1.936236e+00 9.400000e+00
-3.030766e+02 -7.163275e-04 2.009498e-03 -3.445148e-05 -1.142868e-05 -1.414045e-03 2.133356e-03 -1.913224e+00 1.128000e+01
-3.023804e+02 -6.708974e-04 2.028878e-03 -3.495894e-05 -1.044594e-05 -1.494334e-03 2.136925e-03 -1.890152e+00 1.316000e+01
-3.016841e+02 -6.247280e-04 2.046992e-03 -3.544651e-05 -9.453493e-06 -1.496932e-03 2.140201e-03 -1.867011e+00 1.504000e+01
-3.009879e+02 -5.778453e-04 2.063822e-03 -3.591428e-05 -8.446459e-06 -1.318537e-03 2.143190e-03 -1.843794e+00 1.692000e+01
-3.002917e+02 -5.302760e-04 2.079349e-03 -3.636134e-05 -7.430218e-06 -9.108489e-04 2.145899e-03 -1.820494e+00 1.880000e+01
-2.995955e+02 -4.820475e-04 2.093556e-03 -3.678769e-05 -6.400973e-06 -3.695305e-04 2.148335e-03 -1.797105e+00 2.068000e+01
-2.988993e+02 -4.331875e-04 2.106426e-03 -3.719247e-05 -5.363271e-06 7.744421e-05 2.150508e-03 -1.773619e+00 2.256000e+01
