# r=4.000000e+02
# M=2.728000e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
3.977433974596021216e+00 -3.665689149560168864e-02 -1.551895954766290515e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.977434294645028956e+00 -3.665692520332061721e-02 -1.540165749487698008e+02 2.298866436277792839e-08 -5.954498992288903310e-07 3.200000000000000178e+00
3.977434588884046551e+00 -3.665695742485136632e-02 -1.528435544209105785e+02 4.496374839293355222e-08 -1.142880414234019527e-06 6.400000000000000355e+00
3.977434838526306304e+00 -3.665698682551053050e-02 -1.516705338930513278e+02 6.501499803998582763e-08 -1.607338839912436824e-06 9.599999999999999645e+00
3.977435048869917278e+00 -3.665701364082361857e-02 -1.504975133651920771e+02 8.330304127467899872e-08 -1.998682286188874300e-06 1.280000000000000071e+01
3.977435218471036205e+00 -3.665703805702614365e-02 -1.493244928373328548e+02 9.995489130411783492e-08 -2.314224490520333519e-06 1.600000000000000000e+01
3.977435348055752939e+00 -3.665706026876722201e-02 -1.481514723094736041e+02 1.151032990994742203e-07 -2.555316336870293621e-06 1.919999999999999929e+01
3.977435437693106923e+00 -3.665708046225828881e-02 -1.469784517816143818e+02 1.288752597891753898e-07 -2.722086275363499139e-06 2.239999999999999858e+01
3.977435487981588746e+00 -3.665709882056696761e-02 -1.458054312537551311e+02 1.413956262790097123e-07 -2.815647794509497235e-06 2.560000000000000142e+01
3.977435499441014599e+00 -3.665711552020896324e-02 -1.446324107258959089e+02 1.527847823470930629e-07 -2.836968010631398588e-06 2.880000000000000071e+01
3.977435472835103347e+00 -3.665713073185322690e-02 -1.434593901980366581e+02 1.631591233697870114e-07 -2.787467819322752417e-06 3.200000000000000000e+01
3.977435408961036867e+00 -3.665714461902094823e-02 -1.422863696701774359e+02 1.726301717496617350e-07 -2.668630374606738192e-06 3.520000000000000284e+01
3.977435308766011257e+00 -3.665715733798335929e-02 -1.411133491423181852e+02 1.813045043924064576e-07 -2.482217930224603660e-06 3.839999999999999858e+01
3.977435173251754552e+00 -3.665716903709359542e-02 -1.399403286144589345e+02 1.892832974550742283e-07 -2.230094197490401224e-06 4.160000000000000142e+01
3.977435003522168167e+00 -3.665717985655882888e-02 -1.387673080865997122e+02 1.966621726985707889e-07 -1.914312981123092530e-06 4.479999999999999716e+01
3.977434800730838216e+00 -3.665718992808081333e-02 -1.375942875587404899e+02 2.035309509407470597e-07 -1.537020522329011283e-06 4.800000000000000000e+01
3.977434566100580771e+00 -3.665719937469569256e-02 -1.364212670308812392e+02 2.099735420779535052e-07 -1.100491867820499983e-06 5.120000000000000284e+01
3.977434300890039243e+00 -3.665720831062100477e-02 -1.352482465030220169e+02 2.160678432768828009e-07 -6.070687155389582695e-07 5.439999999999999858e+01
3.977434006400258237e+00 -3.665721684122245222e-02 -1.340752259751627662e+02 2.218857132856064837e-07 -5.917165569437049313e-08 5.760000000000000142e+01
3.977433683950944765e+00 -3.665722506303799311e-02 -1.329022054473035155e+02 2.274929914787297651e-07 5.407440013253102213e-07 6.079999999999999716e+01
3.977433334880622784e+00 -3.665723306388137676e-02 -1.317291849194442932e+02 2.329495668464636274e-07 1.190187939058629748e-06 6.400000000000000000e+01
3.977432960528321182e+00 -3.665724092302840437e-02 -1.305561643915850425e+02 2.383095051737557054e-07 1.886668899530002301e-06 6.720000000000000284e+01
3.977432562230439395e+00 -3.665724871145584901e-02 -1.293831438637257918e+02 2.436212123481484974e-07 2.627700514870356651e-06 7.040000000000000568e+01
3.977432141305950797e+00 -3.665725649216448195e-02 -1.282101233358665979e+02 2.489276557303499863e-07 3.410828842625815296e-06 7.359999999999999432e+01
3.977431699051647396e+00 -3.665726432055018552e-02 -1.270371028080073330e+02 2.542666147065446043e-07 4.233641205017682528e-06 7.679999999999999716e+01
3.977431236729731534e+00 -3.665727224484744556e-02 -1.258640822801480965e+02 2.596709855818581871e-07 5.093789280573963411e-06 8.000000000000000000e+01
3.977430755562426867e+00 -3.665728030660919678e-02 -1.246910617522888742e+02 2.651691072231784922e-07 5.988999125626962633e-06 8.320000000000000284e+01
3.977430256721441459e+00 -3.665728854125187980e-02 -1.235180412244296093e+02 2.707851334255701366e-07 6.917090783879893104e-06 8.640000000000000568e+01
3.977429741322466406e+00 -3.665729697862193937e-02 -1.223450206965704012e+02 2.765394199814022539e-07 7.875988515168742951e-06 8.959999999999999432e+01
3.977429210416211891e+00 -3.665730564362157384e-02 -1.211720001687111505e+02 2.824489495143285076e-07 8.863737478197368996e-06 9.279999999999999716e+01
3.977428664983166495e+00 -3.665731455683908513e-02 -1.199989796408519140e+02 2.885277637980928015e-07 9.878513477886894344e-06 9.600000000000000000e+01
3.977428105925933099e+00 -3.665732373522798820e-02 -1.188259591129926775e+02 2.947874249691326216e-07 1.091863722333737405e-05 9.920000000000000284e+01
3.977427534064442938e+00 -3.665733319278166591e-02 -1.176529385851334268e+02 3.012374767580756072e-07 1.198258323906482357e-05 1.024000000000000057e+02
3.977426950129499872e+00 -3.665734294123851322e-02 -1.164799180572742188e+02 3.078859245124534745e-07 1.306899186468581533e-05 1.055999999999999943e+02
3.977426354758560656e+00 -3.665735299077547277e-02 -1.153068975294149539e+02 3.147397086470503453e-07 1.417667711553978300e-05 1.087999999999999972e+02
3.977425748490333035e+00 -3.665736335071581586e-02 -1.141338770015557316e+02 3.218051879897312698e-07 1.530463672829627625e-05 1.120000000000000000e+02
3.977425131761132882e+00 -3.665737403022001351e-02 -1.129608564736964951e+02 3.290886097232766433e-07 1.645205893830334231e-05 1.152000000000000028e+02
3.977424504900481939e+00 -3.665738503897273542e-02 -1.117878359458372444e+02 3.365965792286046778e-07 1.761833067190203707e-05 1.184000000000000057e+02
3.977423868128254547e+00 -3.665739638784179522e-02 -1.106148154179780221e+02 3.443365077067748327e-07 1.880304285326669735e-05 1.215999999999999943e+02
3.977423221551342092e+00 -3.665740808951889473e-02 -1.094417948901187714e+02 3.523170513384921705e-07 2.000599661321798972e-05 1.247999999999999972e+02
3.977422565161469414e+00 -3.665742015912781121e-02 -1.082687743622595349e+02 3.605485246727674346e-07 2.122720734570065939e-05 1.280000000000000000e+02
3.977421898832541824e+00 -3.665743261481043541e-02 -1.070957538344003126e+02 3.690433005538015040e-07 2.246690965015578635e-05 1.311999999999999886e+02
3.977421222318967331e+00 -3.665744547826658289e-02 -1.059227333065410477e+02 3.778161776186994204e-07 2.372556044931882437e-05 1.344000000000000057e+02
3.977420535253842093e+00 -3.665745877525472540e-02 -1.047497127786818396e+02 3.868847234930104588e-07 2.500384236608088821e-05 1.375999999999999943e+02
3.977419837147975201e+00 -3.665747253604390715e-02 -1.035766922508225889e+02 3.962695814406261715e-07 2.630266554018635032e-05 1.408000000000000114e+02
3.977419127388694964e+00 -3.665748679582266772e-02 -1.024036717229633524e+02 4.059947507824594665e-07 2.762316984157746412e-05 1.440000000000000000e+02
