# r=4.000000e+02
# M=2.728000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 8.128719707374435499e-01 1.185340233766586510e-01 5.378510670878566434e-04 8.214689011206897096e-01 -1.448006864066581079e-01 0.000000000000000000e+00
-1.540165749487698008e+02 7.945118024624762132e-01 1.155105052007485006e-01 5.378510670878566434e-04 8.028646716999726651e-01 -1.443739745493921867e-01 3.200000000000000178e+00
-1.528435544209105785e+02 7.764478856384042782e-01 1.122222295600188990e-01 6.405290264378618072e-04 7.845158684945576777e-01 -1.435388657214080044e-01 6.400000000000000355e+00
-1.516705338930513278e+02 7.585851613818774819e-01 1.091235192650293340e-01 6.057884326903036250e-04 7.663937561890458161e-01 -1.428712671559895786e-01 9.599999999999999645e+00
-1.504975133651920771e+02 7.409567330837226740e-01 1.060177629786764469e-01 6.170351709422054222e-04 7.485029367805484668e-01 -1.421176611872372042e-01 1.280000000000000071e+01
-1.493244928373328548e+02 7.235459754025046486e-01 1.030142341398751077e-01 6.063782150493598035e-04 7.308424665798963771e-01 -1.414236773121368973e-01 1.600000000000000000e+01
-1.481514723094736041e+02 7.063619844296353811e-01 1.000426419019072449e-01 6.069184277666272607e-04 7.134113702809100621e-01 -1.406950729994381200e-01 1.919999999999999929e+01
-1.469784517816143818e+02 6.893982450459024136e-01 9.715118178421325301e-02 5.997963914639607361e-04 6.962099485029205059e-01 -1.399998217631242825e-01 2.239999999999999858e+01
-1.458054312537551311e+02 6.726585659363848446e-01 9.430387397438212693e-02 5.967374119246509267e-04 6.792369004803625598e-01 -1.392879260399918773e-01 2.560000000000000142e+01
-1.446324107258959089e+02 6.561393803524949719e-01 9.152765207855305396e-02 5.898174117681874397e-04 6.624924131975917785e-01 -1.385998512952658634e-01 2.880000000000000071e+01
-1.434593901980366581e+02 6.398425807792245124e-01 8.880061175584173794e-02 5.845291513159454238e-04 6.459752911887807203e-01 -1.379041901766061007e-01 3.200000000000000000e+01
-1.422863696701774359e+02 6.237657683857548152e-01 8.613985349349982668e-02 5.767568164226207980e-04 6.296854835310663479e-01 -1.372285219080143781e-01 3.520000000000000284e+01
-1.411133491423181852e+02 6.079099088951672725e-01 8.353058629950929626e-02 5.695072077565887549e-04 6.136218837203171184e-01 -1.365510950061131490e-01 3.839999999999999858e+01
-1.399403286144589345e+02 5.922731937385760093e-01 8.098456841962115016e-02 5.603362320087735583e-04 5.977842724122182094e-01 -1.358924346170898301e-01 4.160000000000000142e+01
-1.387673080865997122e+02 5.768560473877131223e-01 7.849109639876891698e-02 5.510508736496900041e-04 5.821715826297745311e-01 -1.352365232008139739e-01 4.479999999999999716e+01
-1.375942875587404899e+02 5.616569370314897780e-01 7.605870112816251472e-02 5.400564112806167895e-04 5.667834162472452642e-01 -1.345996466437181238e-01 4.800000000000000000e+01
-1.364212670308812392e+02 5.466759365846706187e-01 7.367924016478936966e-02 5.285057761395177498e-04 5.516187180217758668e-01 -1.339695286875456637e-01 5.120000000000000284e+01
-1.352482465030220169e+02 5.319116795517377927e-01 7.135914784878309713e-02 5.152788615924713952e-04 5.366769631959762421e-01 -1.333597503947104579e-01 5.439999999999999858e+01
-1.340752259751627662e+02 5.173640048297739602e-01 6.909199074813668351e-02 5.011339797073103555e-04 5.219571023360473072e-01 -1.327606633231058486e-01 5.760000000000000142e+01
-1.329022054473035155e+02 5.030316429985979276e-01 6.688276338868677506e-02 4.852298579671885585e-04 5.074585085466357670e-01 -1.321840695039015190e-01 6.079999999999999716e+01
-1.317291849194442932e+02 4.889142424558908795e-01 6.472622828819613039e-02 4.680626519289337348e-04 4.931801102078563481e-01 -1.316222941548543801e-01 6.400000000000000000e+01
-1.305561643915850425e+02 4.750105694893904662e-01 6.262634936601849112e-02 4.489623422135599140e-04 4.791211754468275297e-01 -1.310859753058277732e-01 6.720000000000000284e+01
-1.293831438637257918e+02 4.613201275072377205e-01 6.057875854285175304e-02 4.282422359746351878e-04 4.652806099870133716e-01 -1.305690100675498400e-01 7.040000000000000568e+01
-1.282101233358665979e+02 4.478417022795825875e-01 5.858665594655439179e-02 4.053333913729715372e-04 4.516575988020949950e-01 -1.300813014384386013e-01 7.359999999999999432e+01
-1.270371028080073330e+02 4.345746885656220360e-01 5.664632863367776577e-02 3.804076492794217093e-04 4.382510313616866382e-01 -1.296180812901352453e-01 7.679999999999999716e+01
-1.258640822801480965e+02 4.215178664628051464e-01 5.476039362676912020e-02 3.529466559215096847e-04 4.250600104191336048e-01 -1.291888494753197225e-01 8.000000000000000000e+01
-1.246910617522888742e+02 4.086704992245831503e-01 5.292564346407805514e-02 3.229972474252954190e-04 4.120833661682508087e-01 -1.287900539448648407e-01 8.320000000000000284e+01
-1.235180412244296093e+02 3.960313491601946123e-01 5.114424577042579051e-02 2.900766733317342331e-04 3.993201264562927788e-01 -1.284310846719759203e-01 8.640000000000000568e+01
-1.223450206965704012e+02 3.835996056914064423e-01 4.941338338886275272e-02 2.541253654285526627e-04 3.867691041752653325e-01 -1.281095221599223566e-01 8.959999999999999432e+01
-1.211720001687111505e+02 3.713740164474531036e-01 4.773486646441979508e-02 2.146430130103006392e-04 3.744292691132586892e-01 -1.278348961313810761e-01 9.279999999999999716e+01
-1.199989796408519140e+02 3.593536805892670882e-01 4.610619716955395575e-02 1.714679633596089805e-04 3.622993916231309064e-01 -1.276059608390770761e-01 9.600000000000000000e+01
-1.188259591129926775e+02 3.475373150004135159e-01 4.452888975194953941e-02 1.240754131387061549e-04 3.503783773868443530e-01 -1.274326252495990019e-01 9.920000000000000284e+01
-1.176529385851334268e+02 3.359239352496794506e-01 4.300069910269323920e-02 7.217985606285055910e-05 3.386649530095359739e-01 -1.273148748258484397e-01 1.024000000000000057e+02
-1.164799180572742188e+02 3.245122316020225828e-01 4.152290366434986668e-02 1.520043864777632379e-05 3.271579740554150240e-01 -1.272632883438797047e-01 1.055999999999999943e+02
-1.153068975294149539e+02 3.133011623491086528e-01 4.009346455290641736e-02 -4.727239231990544826e-05 3.158561448336215105e-01 -1.272792139727158267e-01 1.087999999999999972e+02
-1.141338770015557316e+02 3.022893831084025873e-01 3.871345727844634210e-02 -1.159146152501140681e-04 3.047582696408888125e-01 -1.273741913170642337e-01 1.120000000000000000e+02
-1.129608564736964951e+02 2.914757648335156159e-01 3.738101143169740570e-02 -1.912725040289518568e-04 2.938629978424293077e-01 -1.275511544190504054e-01 1.152000000000000028e+02
-1.117878359458372444e+02 2.808589076514313443e-01 3.609701417167664184e-02 -2.741100282602670544e-04 2.831690668827820390e-01 -1.278229244643462326e-01 1.184000000000000057e+02
-1.106148154179780221e+02 2.704376212172582283e-01 3.485971026358625213e-02 -3.651362787920851838e-04 2.726750930490543512e-01 -1.281942277991331425e-01 1.215999999999999943e+02
-1.094417948901187714e+02 2.602104899631211832e-01 3.366981371862830946e-02 -4.652962195971047945e-04 2.623797923672757659e-01 -1.286795491653247303e-01 1.247999999999999972e+02
-1.082687743622595349e+02 2.501762766394136639e-01 3.252567060164521934e-02 -5.755776600156940846e-04 2.522817643850763236e-01 -1.292858318333785506e-01 1.280000000000000000e+02
-1.070957538344003126e+02 2.403335200813306316e-01 3.142786328617726971e-02 -6.972021089131748761e-04 2.423796845146432566e-01 -1.300298779864759169e-01 1.311999999999999886e+02
-1.059227333065410477e+02 2.306809275921168356e-01 3.037483691894031154e-02 -8.314789469043151271e-04 2.326721321357838879e-01 -1.309214966050223639e-01 1.344000000000000057e+02
-1.047497127786818396e+02 2.212170205100898457e-01 2.936705861698609213e-02 -9.799626463772100234e-04 2.231577789259765188e-01 -1.319805617328790037e-01 1.375999999999999943e+02
-1.035766922508225889e+02 2.119404511810170089e-01 2.840304789274144398e-02 -1.144381390348937506e-03 2.138351888170196002e-01 -1.332205292064938262e-01 1.408000000000000114e+02
-1.024036717229633524e+02 2.028496873687235247e-01 2.748315415473335729e-02 -1.326746752559409279e-03 2.047030029771954862e-01 -1.346653274580378035e-01 1.440000000000000000e+02
-1.012306511951041159e+02 1.939433371987271115e-01 2.660594623754954091e-02 -1.529366426917317572e-03 1.957597875432402212e-01 -1.363331315585393499e-01 1.471999999999999886e+02
-1.000576306672448652e+02 1.852198378848923521e-01 2.577166002675247702e-02 -1.754861594169966838e-03 1.870041892756424684e-01 -1.382532838848233026e-01 1.504000000000000057e+02
-9.888461013938565713e+01 1.766777391102463679e-01 2.497887044350108679e-02 -2.006160680540336645e-03 1.784347708988959780e-01 -1.404501089055656682e-01 1.535999999999999943e+02
-9.771158961152639222e+01 1.683154725648163819e-01 2.422762562740098449e-02 -2.286524783669727917e-03 1.700502165486976192e-01 -1.429598192057390527e-01 1.568000000000000114e+02
-9.653856908366716993e+01 1.601316228950744880e-01 2.351639889734678454e-02 -2.599923825305376635e-03 1.618491818580170549e-01 -1.458143899229726592e-01 1.600000000000000000e+02
-9.536554855580793344e+01 1.521246680210222024e-01 2.284505055768304080e-02 -2.951604356184306041e-03 1.538304617281288367e-01 -1.490593472416460730e-01 1.631999999999999886e+02
-9.419252802794868273e+01 1.442931684071221132e-01 2.221219071274651777e-02 -3.349053370111996011e-03 1.459928075804610703e-01 -1.527389749228185434e-01 1.664000000000000057e+02
-9.301950750008946045e+01 1.366355180600993258e-01 2.161807272152698606e-02 -3.802167296037128365e-03 1.383351215843068305e-01 -1.569163639457211434e-01 1.695999999999999943e+02
-9.184648697223020974e+01 1.291501904637302189e-01 2.106208943527512062e-02 -4.322867565254278482e-03 1.308563460753712215e-01 -1.616590155000317552e-01 1.728000000000000114e+02
-9.067346644437097325e+01 1.218355582954234462e-01 2.054508651122853927e-02 -4.923662755641121380e-03 1.235556710350091125e-01 -1.670579887322414525e-01 1.760000000000000000e+02
-8.950044591651175097e+01 1.146900883176517477e-01 2.006656504065327737e-02 -5.617376227477798196e-03 1.164323124860170700e-01 -1.732101304692777455e-01 1.791999999999999886e+02
-8.832742538865250026e+01 1.077121129459212567e-01 1.962665037478037583e-02 -6.418312412758396708e-03 1.094856368671652119e-01 -1.802365839873213416e-01 1.824000000000000057e+02
-8.715440486079326377e+01 1.008999920099913628e-01 1.922388203249277353e-02 -7.346064382827425382e-03 1.027149747019173304e-01 -1.882677548980364601e-01 1.855999999999999943e+02
-8.598138433293402727e+01 9.425197935390941528e-02 1.885776653247735538e-02 -8.428713762853090596e-03 9.611998216147976670e-02 -1.974707526273856983e-01 1.888000000000000114e+02
-8.480836380507479078e+01 8.776644893147782234e-02 1.852716400296981064e-02 -9.705285231824643810e-03 8.970064305251464198e-02 -2.080418634325891802e-01 1.920000000000000000e+02
-8.363534327721555428e+01 8.144169255632346949e-02 1.823244733530042169e-02 -1.122557991432482187e-02 8.345760254328669914e-02 -2.202397502387044292e-01 1.951999999999999886e+02
-8.246232274935631779e+01 7.527600357072693205e-02 1.797332425814581261e-02 -1.305185335294233376e-02 7.739197050384842569e-02 -2.343775347858439162e-01 1.984000000000000057e+02
-8.128930222149708129e+01 6.926753760159094775e-02 1.775036923640892911e-02 -1.526262706126831070e-02 7.150571566956497038e-02 -2.508599340579240056e-01 2.015999999999999943e+02
-8.011628169363783059e+01 6.341457424981579438e-02 1.756308143563648991e-02 -1.796247047814419559e-02 6.580174812875566603e-02 -2.701842844896992224e-01 2.048000000000000114e+02
-7.894326116577860830e+01 5.771539606444395926e-02 1.741178608296528943e-02 -2.129345728897715992e-02 6.028463516912561937e-02 -2.930006272617813878e-01 2.080000000000000000e+02
-7.777024063791937181e+01 5.216833489293889320e-02 1.729611687410103488e-02 -2.545077526273896787e-02 5.496081171547949340e-02 -3.201396095078272719e-01 2.111999999999999886e+02
