# r=4.000000e+02
# M=2.728000e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 -8.419801343884962815e-06 5.956452012731991777e-05 9.405315902998562889e-04 6.015667138953406765e-05 -1.711221937370974056e+00 0.000000000000000000e+00
-1.540165749487698008e+02 -8.418294706221636761e-06 6.003670635339642699e-05 9.405315902998562889e-04 6.062403645027893980e-05 -1.710107178985631693e+00 3.200000000000000178e+00
-1.528435544209105785e+02 -8.416946829862728658e-06 6.050740303638945457e-05 9.239094404952115890e-04 6.109002223067862833e-05 -1.709015411645930405e+00 6.400000000000000355e+00
-1.516705338930513278e+02 -8.415565109565514674e-06 6.097809117055183242e-05 9.107425303772707231e-04 6.155606662967889778e-05 -1.707939649506464042e+00 9.599999999999999645e+00
-1.504975133651920771e+02 -8.414107428723975038e-06 6.144881121270920105e-05 8.977771492474459925e-04 6.202220250263032941e-05 -1.706878772278476397e+00 1.280000000000000071e+01
-1.493244928373328548e+02 -8.412636085003337378e-06 6.191956813775198736e-05 8.857692646758677122e-04 6.248844184538779420e-05 -1.705833427455443640e+00 1.600000000000000000e+01
-1.481514723094736041e+02 -8.410979828885348176e-06 6.239029451613987357e-05 8.739169959746594888e-04 6.295469348263550040e-05 -1.704800721217653248e+00 1.919999999999999929e+01
-1.469784517816143818e+02 -8.409302747886127766e-06 6.286087384990375127e-05 8.625459178808987182e-04 6.342086276517465047e-05 -1.703783182303596933e+00 2.239999999999999858e+01
-1.458054312537551311e+02 -8.407396814142445373e-06 6.333135115822465758e-05 8.506199703709796910e-04 6.388696549936313525e-05 -1.702777153081862282e+00 2.560000000000000142e+01
-1.446324107258959089e+02 -8.405619185177741465e-06 6.380186873460836033e-05 8.396037525509857926e-04 6.435318863828288995e-05 -1.701787592930292581e+00 2.880000000000000071e+01
-1.434593901980366581e+02 -8.403514409753743444e-06 6.427231440362957951e-05 8.291319317147500438e-04 6.481936017297571732e-05 -1.700807408207842375e+00 3.200000000000000000e+01
-1.422863696701774359e+02 -8.401469791719828238e-06 6.474261844636696448e-05 8.163509389505290651e-04 6.528546038708034262e-05 -1.699842415377882610e+00 3.520000000000000284e+01
-1.411133491423181852e+02 -8.399503772529412881e-06 6.521296105340195165e-05 8.091512496194896075e-04 6.575166882275503325e-05 -1.698892215389190108e+00 3.839999999999999858e+01
-1.399403286144589345e+02 -8.396744265677639446e-06 6.568298849869565702e-05 8.001203368168790511e-04 6.621752254791004602e-05 -1.697944113325989379e+00 4.160000000000000142e+01
-1.387673080865997122e+02 -8.394385979496966625e-06 6.615308363129668670e-05 7.854033678612436925e-04 6.668355261908373837e-05 -1.697015100229502416e+00 4.479999999999999716e+01
-1.375942875587404899e+02 -8.392186844886273458e-06 6.662307650867206718e-05 7.819843870442532005e-04 6.714955788030070225e-05 -1.696101524779687342e+00 4.800000000000000000e+01
-1.364212670308812392e+02 -8.388563706239432377e-06 6.709258565542202703e-05 7.712684358435528470e-04 6.761496173912825687e-05 -1.695180532752565750e+00 5.120000000000000284e+01
-1.352482465030220169e+02 -8.386326764277275139e-06 6.756222865797317236e-05 7.545148902793213670e-04 6.808072574399808615e-05 -1.694292097364218597e+00 5.439999999999999858e+01
-1.340752259751627662e+02 -8.383683150215090417e-06 6.803155677993677117e-05 7.568287985530604538e-04 6.854618049946299577e-05 -1.693410409842819542e+00 5.760000000000000142e+01
-1.329022054473035155e+02 -8.379330393867618390e-06 6.850059363483551394e-05 7.494131685189941040e-04 6.901119116617580548e-05 -1.692516545930663030e+00 6.079999999999999716e+01
-1.317291849194442932e+02 -8.376168032370289376e-06 6.896928542956401388e-05 7.292696496204209870e-04 6.947605719649879545e-05 -1.691652255781777914e+00 6.400000000000000000e+01
-1.305561643915850425e+02 -8.373355092892736617e-06 6.943725631916823485e-05 7.244062148420832813e-04 6.994030054729206177e-05 -1.690805649391964094e+00 6.720000000000000284e+01
-1.293831438637257918e+02 -8.369272119931572596e-06 6.990494784831779193e-05 7.246494191185325843e-04 7.040416500103877768e-05 -1.689952769060740767e+00 7.040000000000000568e+01
-1.282101233358665979e+02 -8.364667357699841278e-06 7.037152915067571761e-05 7.139082688261095622e-04 7.086691594114542120e-05 -1.689105592103709474e+00 7.359999999999999432e+01
-1.270371028080073330e+02 -8.360551747139338219e-06 7.083708031742104851e-05 7.018780066700026216e-04 7.132875137988434265e-05 -1.688277910952057814e+00 7.679999999999999716e+01
-1.258640822801480965e+02 -8.356223688976701928e-06 7.130200411703074793e-05 6.979812668737112513e-04 7.178998722276863501e-05 -1.687458957483955801e+00 8.000000000000000000e+01
-1.246910617522888742e+02 -8.350990449386992139e-06 7.176542649094462642e-05 6.900029014817529597e-04 7.224967460766124256e-05 -1.686640418243849693e+00 8.320000000000000284e+01
-1.235180412244296093e+02 -8.346244400987160933e-06 7.222802761876616112e-05 6.791137677752244342e-04 7.270864989324349152e-05 -1.685840182348514737e+00 8.640000000000000568e+01
-1.223450206965704012e+02 -8.341251328117700863e-06 7.269027126122485076e-05 6.787169510335751320e-04 7.316728783923368918e-05 -1.685047189463145356e+00 8.959999999999999432e+01
-1.211720001687111505e+02 -8.334955243855424702e-06 7.315160972667160920e-05 6.761049899618498714e-04 7.362492434305349979e-05 -1.684247884516177907e+00 9.279999999999999716e+01
-1.199989796408519140e+02 -8.328853560095488660e-06 7.361297676666680252e-05 6.679504081122645230e-04 7.408265755273188207e-05 -1.683461019398718728e+00 9.600000000000000000e+01
-1.188259591129926775e+02 -8.322505532180648935e-06 7.407413618648000348e-05 6.658777538557142297e-04 7.454020224084695464e-05 -1.682680845435562622e+00 9.920000000000000284e+01
-1.176529385851334268e+02 -8.315361920195008132e-06 7.453584061896408974e-05 6.619470632197911337e-04 7.499824518373376491e-05 -1.681898842850083620e+00 1.024000000000000057e+02
